nl|De Nederlandstalige versie startte op 19 juni 2001 
nl|en is met meer dan 2,2 miljoen artikelen de op
nl|vijf na grootste van circa 360 taalversies.
nl|De encyclopedie is vrij bewerkbaar. Dat houdt in dat iedereen tekst 
nl|en afbeeldingen kan toevoegen of aanpassen, met inachtneming van de basisregels.
nl|Voor de bewerkers zijn er diverse hulppagina's beschikbaar. 
nl|Er is ook een snelcursus voor nieuwelingen. 
nl|Zaken uitproberen kan in de zandbak en vragen kunnen gesteld 
nl|worden bij de helpdesk. Voor privacyvragen kunt u hier terecht.
nl|Ganoxanthus vanstallei is een keversoort uit de familie kniptorren (Elateridae). 
nl|De wetenschappelijke naam van de soort is voor 
nl|eerst geldig gepubliceerd in 2003 door Schimmel.
nl|Paramicrolaimus minus is een rondwormensoort uit de familie van de Paramicrolaimidae.
nl|De wetenschappelijke naam van de soort is voor het eerst geldig gepubliceerd in 2005 door Huang & Zhang.
nl|Coproica rohaceki is een vliegensoort uit de familie van de mestvliegen 
nl|De wetenschappelijke naam van de soort is voor het eerst
nl|geldig gepubliceerd in 1990 door Carles-Tolra.
nl|Mashonaland East is een provincie van Zimbabwe. 
nl|Het heeft een oppervlakte van 32.230 km² en een inwonertal 
nl|van 1.125.355 (2002). De hoofdstad van de provincie is Marondera
nl|De boom, wang of trapboom van een trap draagt de treden.
nl|De boom van een trap wordt gevormd door de hoofdliggers waarop of waarin de treden met de
nl|eventuele stootborden bevestigd zijn. Een trap heeft meestal twee trapbomen.
nl|De boom aan de muurzijde heet de binnenboom, de andere heet de buitenboom. 
nl|Bij een houten trap zijn de trapbomen vaak ingefreesd zodat de treden en stootborden er in 
nl|verankerd worden. Bij een keepboom liggen de treden op de bomen en niet erin.
nl|Zijn beide bomen gelijk aan elkaar, dan spreken we van een rechte steektrap, de trap loopt dus
nl|zonder verdraaiing naar boven. Een scheluwe trap daarentegen begint of eindigt met een draaiing
nl|en de bomen zijn derhalve niet aan elkaar gelijk. Een spiltrap heeft slechts een boom en wel een buitenboom.
nl|De Experience Machine is een gedachte-experiment van de Amerikaanse filosoof Robert Nozick, 
nl|die met deze Belevingsmachine onderzoekt wat het louter najagen van plezierige ervaringen oplevert. 
nl|Volgens het hedonisme is genot nastreven en het vermijden van pijn de belangrijkste opdracht in het leven.
nl|Filosofen als Jeremy Bentham en John Stuart Mill stellen dat geluk het hoogst haalbare doel is.
nl|Al het andere is daaraan ondergeschikt. Met zijn Experience Machine stelt Nozick dit
nl|uitgangspunt ter discussie. Geluk is veel complexer dan de wens tot puur plezier.
nl|De Belevingsmachine is niet bedoeld als een wetenschappelijke experiment,
nl|waarbij hersenwetenschappers bepaalde gebieden in de hersens stimuleren die met genot verbonden zijn.
nl|Nozicks machine is een complete, realistische, maar virtuele werkelijkheid. Het gaat om de beleving.
nl|Filosoof Shelly Kagan geeft de volgende omschrijving:
nl|Stel dat je een slak was, met een fantastisch terrarium, slakkenspeelgoed en vele andere leuke slakken. 
nl|Binnen korte tijd ontpop je je tot een populaire slak. Op weg naar je werk zijn er geen verkeersopstoppingen,
nl|want er is geen werk. Bovendien hoef je helemaal geen belasting te betalen. 
nl|De vraag is: zou je dan nog een slak willen zijn?
nl|Deze is voor jou is geschreven door Clark zelf. Het is een lied uit het genre nederpop.
nl|Het is een lied dat Clark schreef voor de doorwerkende en zwaarbelaste 
nl|zorgmedewerkers tijdens het begin van de coronapandemie. 
nl|Er werd aan Clark door NPO Radio 2 radio-dj Bart Arens of hij 
